omega,integrand
-2.534535e+01,2.672501e-02
-2.526527e+01,1.840874e-02
-2.518519e+01,9.921767e-03
-2.510511e+01,1.317223e-03
-2.502503e+01,-7.350657e-03
-2.494494e+01,-1.602690e-02
-2.486486e+01,-2.465613e-02
-2.478478e+01,-3.318291e-02
-2.470470e+01,-4.155211e-02
-2.462462e+01,-4.970925e-02
-2.454454e+01,-5.760086e-02
-2.446446e+01,-6.517479e-02
-2.438438e+01,-7.238061e-02
-2.430430e+01,-7.916987e-02
-2.422422e+01,-8.549648e-02
-2.414414e+01,-9.131700e-02
-2.406406e+01,-9.659091e-02
-2.398398e+01,-1.012809e-01
-2.390390e+01,-1.053532e-01
-2.382382e+01,-1.087775e-01
-2.374374e+01,-1.115279e-01
-2.366366e+01,-1.135820e-01
-2.358358e+01,-1.149223e-01
-2.350350e+01,-1.155351e-01
-2.342342e+01,-1.154119e-01
-2.334334e+01,-1.145482e-01
-2.326326e+01,-1.129446e-01
-2.318318e+01,-1.106062e-01
-2.310310e+01,-1.075430e-01
-2.302302e+01,-1.037694e-01
-2.294294e+01,-9.930473e-02
-2.286286e+01,-9.417259e-02
-2.278278e+01,-8.840112e-02
-2.270270e+01,-8.202269e-02
-2.262262e+01,-7.507375e-02
-2.254254e+01,-6.759464e-02
-2.246246e+01,-5.962933e-02
-2.238238e+01,-5.122522e-02
-2.230230e+01,-4.243282e-02
-2.222222e+01,-3.330545e-02
-2.214214e+01,-2.389896e-02
-2.206206e+01,-1.427135e-02
-2.198198e+01,-4.482462e-03
-2.190190e+01,5.406430e-03
-2.182182e+01,1.533297e-02
-2.174174e+01,2.523409e-02
-2.166166e+01,3.504647e-02
-2.158158e+01,4.470686e-02
-2.150150e+01,5.415253e-02
-2.142142e+01,6.332163e-02
-2.134134e+01,7.215365e-02
-2.126126e+01,8.058975e-02
-2.118118e+01,8.857316e-02
-2.110110e+01,9.604959e-02
-2.102102e+01,1.029675e-01
-2.094094e+01,1.092787e-01
-2.086086e+01,1.149382e-01
-2.078078e+01,1.199049e-01
-2.070070e+01,1.241420e-01
-2.062062e+01,1.276169e-01
-2.054054e+01,1.303014e-01
-2.046046e+01,1.321724e-01
-2.038038e+01,1.332117e-01
-2.030030e+01,1.334060e-01
-2.022022e+01,1.327476e-01
-2.014014e+01,1.312340e-01
-2.006006e+01,1.288680e-01
-1.997998e+01,1.256580e-01
-1.989990e+01,1.216177e-01
-1.981982e+01,1.167663e-01
-1.973974e+01,1.111281e-01
-1.965966e+01,1.047327e-01
-1.957958e+01,9.761467e-02
-1.949950e+01,8.981359e-02
-1.941942e+01,8.137353e-02
-1.933934e+01,7.234301e-02
-1.925926e+01,6.277469e-02
-1.917918e+01,5.272504e-02
-1.909910e+01,4.225407e-02
-1.901902e+01,3.142494e-02
-1.893894e+01,2.030359e-02
-1.885886e+01,8.958367e-03
-1.877878e+01,-2.540416e-03
-1.869870e+01,-1.412087e-02
-1.861862e+01,-2.571000e-02
-1.853854e+01,-3.723413e-02
-1.845846e+01,-4.861938e-02
-1.837838e+01,-5.979213e-02
-1.829830e+01,-7.067946e-02
-1.821822e+01,-8.120965e-02
-1.813814e+01,-9.131261e-02
-1.805806e+01,-1.009204e-01
-1.797798e+01,-1.099674e-01
-1.789790e+01,-1.183914e-01
-1.781782e+01,-1.261331e-01
-1.773774e+01,-1.331373e-01
-1.765766e+01,-1.393529e-01
-1.757758e+01,-1.447333e-01
-1.749750e+01,-1.492368e-01
-1.741742e+01,-1.528268e-01
-1.733734e+01,-1.554721e-01
-1.725726e+01,-1.571475e-01
-1.717718e+01,-1.578332e-01
-1.709710e+01,-1.575158e-01
-1.701702e+01,-1.561881e-01
-1.693694e+01,-1.538490e-01
-1.685686e+01,-1.505041e-01
-1.677678e+01,-1.461650e-01
-1.669670e+01,-1.408499e-01
-1.661662e+01,-1.345834e-01
-1.653654e+01,-1.273962e-01
-1.645646e+01,-1.193250e-01
-1.637638e+01,-1.104126e-01
-1.629630e+01,-1.007074e-01
-1.621622e+01,-9.026329e-02
-1.613614e+01,-7.913934e-02
-1.605606e+01,-6.739944e-02
-1.597598e+01,-5.511197e-02
-1.589590e+01,-4.234943e-02
-1.581582e+01,-2.918803e-02
-1.573574e+01,-1.570722e-02
-1.565566e+01,-1.989239e-03
-1.557558e+01,1.188136e-02
-1.549550e+01,2.581823e-02
-1.541542e+01,3.973374e-02
-1.533534e+01,5.353951e-02
-1.525526e+01,6.714697e-02
-1.517518e+01,8.046789e-02
-1.509510e+01,9.341494e-02
-1.501502e+01,1.059022e-01
-1.493493e+01,1.178459e-01
-1.485485e+01,1.291646e-01
-1.477477e+01,1.397801e-01
-1.469469e+01,1.496177e-01
-1.461461e+01,1.586068e-01
-1.453453e+01,1.666814e-01
-1.445445e+01,1.737806e-01
-1.437437e+01,1.798489e-01
-1.429429e+01,1.848365e-01
-1.421421e+01,1.887000e-01
-1.413413e+01,1.914026e-01
-1.405405e+01,1.929144e-01
-1.397397e+01,1.932123e-01
-1.389389e+01,1.922808e-01
-1.381381e+01,1.901120e-01
-1.373373e+01,1.867054e-01
-1.365365e+01,1.820683e-01
-1.357357e+01,1.762158e-01
-1.349349e+01,1.691708e-01
-1.341341e+01,1.609639e-01
-1.333333e+01,1.516331e-01
-1.325325e+01,1.412241e-01
-1.317317e+01,1.297897e-01
-1.309309e+01,1.173897e-01
-1.301301e+01,1.040906e-01
-1.293293e+01,8.996550e-02
-1.285285e+01,7.509316e-02
-1.277277e+01,5.955813e-02
-1.269269e+01,4.345004e-02
-1.261261e+01,2.686316e-02
-1.253253e+01,9.895875e-03
-1.245245e+01,-7.349887e-03
-1.237237e+01,-2.476922e-02
-1.229229e+01,-4.225484e-02
-1.221221e+01,-5.969776e-02
-1.213213e+01,-7.698787e-02
-1.205205e+01,-9.401465e-02
-1.197197e+01,-1.106678e-01
-1.189189e+01,-1.268380e-01
-1.181181e+01,-1.424175e-01
-1.173173e+01,-1.573007e-01
-1.165165e+01,-1.713851e-01
-1.157157e+01,-1.845718e-01
-1.149149e+01,-1.967661e-01
-1.141141e+01,-2.078782e-01
-1.133133e+01,-2.178237e-01
-1.125125e+01,-2.265244e-01
-1.117117e+01,-2.339087e-01
-1.109109e+01,-2.399120e-01
-1.101101e+01,-2.444775e-01
-1.093093e+01,-2.475563e-01
-1.085085e+01,-2.491082e-01
-1.077077e+01,-2.491015e-01
-1.069069e+01,-2.475138e-01
-1.061061e+01,-2.443322e-01
-1.053053e+01,-2.395530e-01
-1.045045e+01,-2.331826e-01
-1.037037e+01,-2.252371e-01
-1.029029e+01,-2.157423e-01
-1.021021e+01,-2.047340e-01
-1.013013e+01,-1.922577e-01
-1.005005e+01,-1.783685e-01
-9.969970e+00,-1.631310e-01
-9.889890e+00,-1.466188e-01
-9.809810e+00,-1.289144e-01
-9.729730e+00,-1.101088e-01
-9.649650e+00,-9.030101e-02
-9.569570e+00,-6.959772e-02
-9.489489e+00,-4.811256e-02
-9.409409e+00,-2.596568e-02
-9.329329e+00,-3.283068e-03
-9.249249e+00,1.980406e-02
-9.169169e+00,4.316001e-02
-9.089089e+00,6.664532e-02
-9.009009e+00,9.011752e-02
-8.928929e+00,1.134319e-01
-8.848849e+00,1.364425e-01
-8.768769e+00,1.590027e-01
-8.688689e+00,1.809660e-01
-8.608609e+00,2.021874e-01
-8.528529e+00,2.225237e-01
-8.448448e+00,2.418346e-01
-8.368368e+00,2.599836e-01
-8.288288e+00,2.768386e-01
-8.208208e+00,2.922733e-01
-8.128128e+00,3.061672e-01
-8.048048e+00,3.184070e-01
-7.967968e+00,3.288873e-01
-7.887888e+00,3.375110e-01
-7.807808e+00,3.441903e-01
-7.727728e+00,3.488472e-01
-7.647648e+00,3.514143e-01
-7.567568e+00,3.518349e-01
-7.487487e+00,3.500641e-01
-7.407407e+00,3.460686e-01
-7.327327e+00,3.398278e-01
-7.247247e+00,3.313332e-01
-7.167167e+00,3.205898e-01
-7.087087e+00,3.076151e-01
-7.007007e+00,2.924400e-01
-6.926927e+00,2.751087e-01
-6.846847e+00,2.556784e-01
-6.766767e+00,2.342195e-01
-6.686687e+00,2.108153e-01
-6.606607e+00,1.855617e-01
-6.526527e+00,1.585671e-01
-6.446446e+00,1.299517e-01
-6.366366e+00,9.984729e-02
-6.286286e+00,6.839674e-02
-6.206206e+00,3.575322e-02
-6.126126e+00,2.079698e-03
-6.046046e+00,-3.245179e-02
-5.965966e+00,-6.766093e-02
-5.885886e+00,-1.033599e-01
-5.805806e+00,-1.393543e-01
-5.725726e+00,-1.754440e-01
-5.645646e+00,-2.114241e-01
-5.565566e+00,-2.470859e-01
-5.485485e+00,-2.822181e-01
-5.405405e+00,-3.166074e-01
-5.325325e+00,-3.500400e-01
-5.245245e+00,-3.823025e-01
-5.165165e+00,-4.131829e-01
-5.085085e+00,-4.424719e-01
-5.005005e+00,-4.699637e-01
-4.924925e+00,-4.954572e-01
-4.844845e+00,-5.187571e-01
-4.764765e+00,-5.396749e-01
-4.684685e+00,-5.580299e-01
-4.604605e+00,-5.736501e-01
-4.524525e+00,-5.863732e-01
-4.444444e+00,-5.960474e-01
-4.364364e+00,-6.025325e-01
-4.284284e+00,-6.057004e-01
-4.204204e+00,-6.054358e-01
-4.124124e+00,-6.016370e-01
-4.044044e+00,-5.942166e-01
-3.963964e+00,-5.831016e-01
-3.883884e+00,-5.682342e-01
-3.803804e+00,-5.495721e-01
-3.723724e+00,-5.270886e-01
-3.643644e+00,-5.007728e-01
-3.563564e+00,-4.706298e-01
-3.483483e+00,-4.366804e-01
-3.403403e+00,-3.989614e-01
-3.323323e+00,-3.575250e-01
-3.243243e+00,-3.124387e-01
-3.163163e+00,-2.637844e-01
-3.083083e+00,-2.116587e-01
-3.003003e+00,-1.561713e-01
-2.922923e+00,-9.744469e-02
-2.842843e+00,-3.561330e-02
-2.762763e+00,2.917782e-02
-2.682683e+00,9.677398e-02
-2.602603e+00,1.670122e-01
-2.522523e+00,2.397226e-01
-2.442442e+00,3.147300e-01
-2.362362e+00,3.918556e-01
-2.282282e+00,4.709190e-01
-2.202202e+00,5.517397e-01
-2.122122e+00,6.341397e-01
-2.042042e+00,7.179455e-01
-1.961962e+00,8.029904e-01
-1.881882e+00,8.891170e-01
-1.801802e+00,9.761792e-01
-1.721722e+00,1.064045e+00
-1.641642e+00,1.152598e+00
-1.561562e+00,1.241738e+00
-1.481481e+00,1.331385e+00
-1.401401e+00,1.421474e+00
-1.321321e+00,1.511955e+00
-1.241241e+00,1.602788e+00
-1.161161e+00,1.693930e+00
-1.081081e+00,1.785326e+00
-1.001001e+00,1.876880e+00
-9.209209e-01,1.968427e+00
-8.408408e-01,2.059691e+00
-7.607608e-01,2.150228e+00
-6.806807e-01,2.239365e+00
-6.006006e-01,2.326133e+00
-5.205205e-01,2.409205e+00
-4.404404e-01,2.486867e+00
-3.603604e-01,2.557035e+00
-2.802803e-01,2.617353e+00
-2.002002e-01,2.665383e+00
-1.201201e-01,2.698880e+00
-4.004004e-02,2.716105e+00
4.004004e-02,2.716105e+00
1.201201e-01,2.698880e+00
2.002002e-01,2.665383e+00
2.802803e-01,2.617353e+00
3.603604e-01,2.557035e+00
4.404404e-01,2.486867e+00
5.205205e-01,2.409205e+00
6.006006e-01,2.326133e+00
6.806807e-01,2.239365e+00
7.607608e-01,2.150228e+00
8.408408e-01,2.059691e+00
9.209209e-01,1.968427e+00
1.001001e+00,1.876880e+00
1.081081e+00,1.785326e+00
1.161161e+00,1.693930e+00
1.241241e+00,1.602788e+00
1.321321e+00,1.511955e+00
1.401401e+00,1.421474e+00
1.481481e+00,1.331385e+00
1.561562e+00,1.241738e+00
1.641642e+00,1.152598e+00
1.721722e+00,1.064045e+00
1.801802e+00,9.761792e-01
1.881882e+00,8.891170e-01
1.961962e+00,8.029904e-01
2.042042e+00,7.179455e-01
2.122122e+00,6.341397e-01
2.202202e+00,5.517397e-01
2.282282e+00,4.709190e-01
2.362362e+00,3.918556e-01
2.442442e+00,3.147300e-01
2.522523e+00,2.397226e-01
2.602603e+00,1.670122e-01
2.682683e+00,9.677398e-02
2.762763e+00,2.917782e-02
2.842843e+00,-3.561330e-02
2.922923e+00,-9.744469e-02
3.003003e+00,-1.561713e-01
3.083083e+00,-2.116587e-01
3.163163e+00,-2.637844e-01
3.243243e+00,-3.124387e-01
3.323323e+00,-3.575250e-01
3.403403e+00,-3.989614e-01
3.483483e+00,-4.366804e-01
3.563564e+00,-4.706298e-01
3.643644e+00,-5.007728e-01
3.723724e+00,-5.270886e-01
3.803804e+00,-5.495721e-01
3.883884e+00,-5.682342e-01
3.963964e+00,-5.831016e-01
4.044044e+00,-5.942166e-01
4.124124e+00,-6.016370e-01
4.204204e+00,-6.054358e-01
4.284284e+00,-6.057004e-01
4.364364e+00,-6.025325e-01
4.444444e+00,-5.960474e-01
4.524525e+00,-5.863732e-01
4.604605e+00,-5.736501e-01
4.684685e+00,-5.580299e-01
4.764765e+00,-5.396749e-01
4.844845e+00,-5.187571e-01
4.924925e+00,-4.954572e-01
5.005005e+00,-4.699637e-01
5.085085e+00,-4.424719e-01
5.165165e+00,-4.131829e-01
5.245245e+00,-3.823025e-01
5.325325e+00,-3.500400e-01
5.405405e+00,-3.166074e-01
5.485485e+00,-2.822181e-01
5.565566e+00,-2.470859e-01
5.645646e+00,-2.114241e-01
5.725726e+00,-1.754440e-01
5.805806e+00,-1.393543e-01
5.885886e+00,-1.033599e-01
5.965966e+00,-6.766093e-02
6.046046e+00,-3.245179e-02
6.126126e+00,2.079698e-03
6.206206e+00,3.575322e-02
6.286286e+00,6.839674e-02
6.366366e+00,9.984729e-02
6.446446e+00,1.299517e-01
6.526527e+00,1.585671e-01
6.606607e+00,1.855617e-01
6.686687e+00,2.108153e-01
6.766767e+00,2.342195e-01
6.846847e+00,2.556784e-01
6.926927e+00,2.751087e-01
7.007007e+00,2.924400e-01
7.087087e+00,3.076151e-01
7.167167e+00,3.205898e-01
7.247247e+00,3.313332e-01
7.327327e+00,3.398278e-01
7.407407e+00,3.460686e-01
7.487487e+00,3.500641e-01
7.567568e+00,3.518349e-01
7.647648e+00,3.514143e-01
7.727728e+00,3.488472e-01
7.807808e+00,3.441903e-01
7.887888e+00,3.375110e-01
7.967968e+00,3.288873e-01
8.048048e+00,3.184070e-01
8.128128e+00,3.061672e-01
8.208208e+00,2.922733e-01
8.288288e+00,2.768386e-01
8.368368e+00,2.599836e-01
8.448448e+00,2.418346e-01
8.528529e+00,2.225237e-01
8.608609e+00,2.021874e-01
8.688689e+00,1.809660e-01
8.768769e+00,1.590027e-01
8.848849e+00,1.364425e-01
8.928929e+00,1.134319e-01
9.009009e+00,9.011752e-02
9.089089e+00,6.664532e-02
9.169169e+00,4.316001e-02
9.249249e+00,1.980406e-02
9.329329e+00,-3.283068e-03
9.409409e+00,-2.596568e-02
9.489489e+00,-4.811256e-02
9.569570e+00,-6.959772e-02
