theta,integrand
-2.879793e+00,-8.632943e-11
-2.356194e+00,-2.036534e-03
-1.832596e+00,-7.587152e-02
-1.308997e+00,-1.983724e-01
-7.853982e-01,2.091953e-01
-2.617994e-01,1.021993e+00
2.617994e-01,1.021993e+00
7.853982e-01,2.091953e-01
1.308997e+00,-1.983724e-01
1.832596e+00,-7.587152e-02
2.356194e+00,-2.036534e-03
2.879793e+00,-8.632943e-11
