theta,integrand
-2.028349e+00,-3.003016e-02
-2.022060e+00,-3.112540e-02
-2.015770e+00,-3.224617e-02
-2.009481e+00,-3.339258e-02
-2.003191e+00,-3.456468e-02
-1.996902e+00,-3.576252e-02
-1.990612e+00,-3.698614e-02
-1.984323e+00,-3.823556e-02
-1.978034e+00,-3.951076e-02
-1.971744e+00,-4.081173e-02
-1.965455e+00,-4.213843e-02
-1.959165e+00,-4.349078e-02
-1.952876e+00,-4.486872e-02
-1.946586e+00,-4.627214e-02
-1.940297e+00,-4.770091e-02
-1.934007e+00,-4.915490e-02
-1.927718e+00,-5.063393e-02
-1.921428e+00,-5.213782e-02
-1.915139e+00,-5.366636e-02
-1.908850e+00,-5.521933e-02
-1.902560e+00,-5.679646e-02
-1.896271e+00,-5.839747e-02
-1.889981e+00,-6.002209e-02
-1.883692e+00,-6.166997e-02
-1.877402e+00,-6.334078e-02
-1.871113e+00,-6.503414e-02
-1.864823e+00,-6.674967e-02
-1.858534e+00,-6.848695e-02
-1.852244e+00,-7.024554e-02
-1.845955e+00,-7.202497e-02
-1.839666e+00,-7.382476e-02
-1.833376e+00,-7.564440e-02
-1.827087e+00,-7.748334e-02
-1.820797e+00,-7.934104e-02
-1.814508e+00,-8.121689e-02
-1.808218e+00,-8.311030e-02
-1.801929e+00,-8.502063e-02
-1.795639e+00,-8.694721e-02
-1.789350e+00,-8.888937e-02
-1.783060e+00,-9.084640e-02
-1.776771e+00,-9.281757e-02
-1.770482e+00,-9.480211e-02
-1.764192e+00,-9.679925e-02
-1.757903e+00,-9.880818e-02
-1.751613e+00,-1.008281e-01
-1.745324e+00,-1.028581e-01
-1.739034e+00,-1.048973e-01
-1.732745e+00,-1.069449e-01
-1.726455e+00,-1.089999e-01
-1.720166e+00,-1.110613e-01
-1.713876e+00,-1.131282e-01
-1.707587e+00,-1.151996e-01
-1.701298e+00,-1.172745e-01
-1.695008e+00,-1.193518e-01
-1.688719e+00,-1.214305e-01
-1.682429e+00,-1.235095e-01
-1.676140e+00,-1.255877e-01
-1.669850e+00,-1.276639e-01
-1.663561e+00,-1.297370e-01
-1.657271e+00,-1.318059e-01
-1.650982e+00,-1.338693e-01
-1.644692e+00,-1.359261e-01
-1.638403e+00,-1.379750e-01
-1.632114e+00,-1.400148e-01
-1.625824e+00,-1.420442e-01
-1.619535e+00,-1.440619e-01
-1.613245e+00,-1.460666e-01
-1.606956e+00,-1.480570e-01
-1.600666e+00,-1.500318e-01
-1.594377e+00,-1.519896e-01
-1.588087e+00,-1.539290e-01
-1.581798e+00,-1.558487e-01
-1.575508e+00,-1.577472e-01
-1.569219e+00,-1.596232e-01
-1.562930e+00,-1.614753e-01
-1.556640e+00,-1.633019e-01
-1.550351e+00,-1.651016e-01
-1.544061e+00,-1.668730e-01
-1.537772e+00,-1.686146e-01
-1.531482e+00,-1.703249e-01
-1.525193e+00,-1.720024e-01
-1.518903e+00,-1.736456e-01
-1.512614e+00,-1.752529e-01
-1.506324e+00,-1.768230e-01
-1.500035e+00,-1.783542e-01
-1.493746e+00,-1.798450e-01
-1.487456e+00,-1.812938e-01
-1.481167e+00,-1.826991e-01
-1.474877e+00,-1.840594e-01
-1.468588e+00,-1.853731e-01
-1.462298e+00,-1.866387e-01
-1.456009e+00,-1.878545e-01
-1.449719e+00,-1.890190e-01
-1.443430e+00,-1.901307e-01
-1.437140e+00,-1.911879e-01
-1.430851e+00,-1.921892e-01
